FormID,EN,ES,FR,IT,DE,PL,RU,ZH,JA,CZ,PT,TR,KR,UK,HU
00052695,Charred Skeever Hide,Piel de skeever chamuscado,Peau de ragnard carbonisé,Pelle di skeever arrosto,Verkohltes Skeeverfell,Zwęglona skóra ślizgacza,Жареная злокрысья кожа,焦黑的惡鼠皮,焼け焦げたスキーヴァーの皮,Ohořelá kůže kolčaváka,Pele de Skeever Chamuscado,Közlenmiş Sıçan Derisi,그을린 스키버 가죽,Шкура запеченої пацюрви,Megperzselt sivítóirha
00057F91,Hanging Moss,Musgo colgante,Mousse barbue,Muschio,Hängemoos,Wiszący mech,Бородатый мох,吊苔,垂れ苔,Splývavý lišejník,Musgo Pendurado,Asma Yosunu,늘어진 이끼,Звислий мох,Függõmoha
00059B86,Nirnroot,Raíz de nirn,Nirnroot,Radice di Nirn,Nirnwurz,Korzeń nirnu,Корень Нирна,奈恩根,ニルンルート,Nirnský kořen,Raiz de Nirn,Nirnotu,넌루트,Нірн-корінь,Nirngyökér
00063B5F,Spriggan Sap,Savia de spriggan,Sève de spriggan,Linfa di spriggan,Zweiglingsaft,Posoka wiły,Живица сприггана,樹精的樹液,スプリガンの樹液,Spriganská míza,Seiva de Spriggan,Ağaçperisi Özü,스프리건 수액,Живиця деервиці,Fafúria nedv
0006ABCB,Canis Root,Raíz canina,Racine de canis,Radice canina,Caniswurzel,Wilczy korzeń ,Собачий корень,犬根,カニスの根,Psí kořen,Raiz Canis,İt Otu,회색 뿌리,Песячий корінь,Kutyagyökér
0006AC4A,Jazbay Grapes,Uvas de jazbay,Raisin jazbay,Acini di jazbay,Jasbaytrauben,Winogrona Jazbay,Виноград джазби,架子灣葡萄,ジャズベイ・ブドウ,Jazbajské hrozny,Uvas de Jazbay,Yaban Üzümü,재즈베이 포도,Гроно винограду жазбей,Jazbay szõlõ
0006B689,Hagraven Claw,Garra de bruja cuervo,Serre d'harfreuse,Artiglio di hagraven,Hexenrabenklaue,Szpon wiedźmokruka,Коготь ворожеи,烏鴉鬼婆的爪子,ハグレイヴンの爪,Pařát vranice,Garra de Bruxa Harpia,Ucube Tırnağı,해그레이븐 발톱,Пазур відьми-ворони,Hollóbanya-karom
0006BC00,Mudcrab Chitin,Quitina de cangrejo del barro,Chitine de vasard,Chitina di granchio del fango,Schlammkrabben-Chitin,Pancerzyk kraba błotnego,Клешня грязевого краба,泥沼蟹殼,マッドクラブの殻,Chitin z blátokraba,Quitina de Caranguejo da Lama,Yengeç Kıskacı,진흙게 껍질,Хітин багнокраба,Mocsárrák kitin
0006BC02,Bear Claws,Garras de oso,Griffes d'ours,Artigli di orso,Bärenklauen,Pazury niedźwiedzia,Медвежьи когти,熊爪,クマの爪,Medvědí drápy,Garras de Urso,Ayı Pencesi,곰 발톱,Пазурі ведмедя,Medvekarmok
0006BC04,Sabre Cat Tooth,Diente de gato sable,Dent de smilodon,Dente di tigre dai denti a sciabola,Säbelzahntigerreißzahn,Ząb kota szablozębnego,Клык саблезуба,劍齒虎牙齒,サーベルキャットの牙,Zub šavlozubé kočky,Dente de Dente-de-Sabre,Keskin Diş Dişi,검치호랑이 이빨,Ікло шаблезуба,Kardfogú agyara
0006BC07,Eye of Sabre Cat,Ojo de gato sable,Oeil de smilodon,Occhio di tigre dai denti a sciabola,Säbelzahntigerauge,Oko kota szablozębnego,Глаз саблезуба,劍齒虎之眼,サーベルキャットの目,Oko šavlozubé kočky,Olho de Dente-de-Sabre,Keskin Diş Gözü,검치호랑이의 눈,Око шаблезуба,Kardfogú szeme
0006BC0A,Large Antlers,Cornamenta grande,Grande ramure,Corna grandi,Großes Geweih,Duże poroże,Большие рога,長鹿角,大きな枝角,Rozložité paroží,Galhada Grande,Büyük Boynuzlar,큰 뿔,Роги оленя,Nagy agancs
0006BC0B,Small Antlers,Cornamenta pequeña,Petite ramure,Piccole corna,Kleines Geweih,Małe poroże,Маленькие рога,短鹿角,小さな枝角,Malé paroží,Galhada Pequena,Küçük Boynuzlar,작은 뿔,Ріжки оленя,Kis agancs
0006BC0E,Wisp Wrappings,Enseres de fuego fatuo,Voiles éthérés,Fasce del fuoco fatuo,Magisches Leichentuch,Okład z ognika,Пелена дымка,幽魂外皮,ウィスプ・ラッピング,Bludné obvazy,Restos de Mãe Fátua,Ilgım Sargısı,위스프 외피,Серпанковий покрив,Lidércburok
0006BC10,Powdered Mammoth Tusk,Colmillo de mamut molido,Défense de mammouth en poudre,Polvere di zanne di mammut,Pulverisierter Mammutstoßzahn,Starty kieł mamuta,Толченый бивень мамонта,長毛象牙粉末,マンモスの牙粉,Rozemletý mamutí kel,Pó de Presa de Mamute,Mamut Dişi Pudrası,매머드 상아 가루,Перетертий бивень мамута,Porított mamutagyar
0006F950,Scaly Pholiota,Foliota escamosa,Pholiote à écailles,Pholiota squamosa,Schuppenschwamm,Łuskwiak,Чешуйчатка,鱗片傘菌,スギタケ,Šupinovka kostrbatá,Pholiota Escamosa,Pullu Mantar,비늘 버섯,Лускатниця,Pikkelyes tõkegomba
000705B7,Berit's Ashes,Cenizas de Berit,Cendres de Berit,Ceneri di Berit,Berits Asche,Prochy Berita,Прах Берита,貝瑞特的骨灰,ベリットの灰,Beritův popel,Cinzas de Berit,Berit'in Külleri,베릿의 잿가루,Порох Берита,Berit hamvai
000727DE,Blue Butterfly Wing,Ala de mariposa azul,Aile de papillon bleu,Ala di farfalla blu,Blauer Schmetterlingsflügel,Skrzydło błękitnego motyla,Крыло синей бабочки,藍蝶翅膀,青い蝶の羽,Křídlo modrého motýla,Asa de Borboleta Azul,Mavi Kelebek Kanatları,파란 나비 날개,Крильце блакитного метелика,Kéklepke-szárny
000727DF,Luna Moth Wing,Ala de actias luna,Aile de noctuelle,Ala di falena,Mondfalterflügel,Skrzydło księżycowej ćmy,Крыло лунного мотылька,月蛾翅膀,ルナ・モスの羽,Křídlo měsíční můry,Asa de Mariposa Luna,Mehtap Güvesi Kanadı,누에 나방 날개,Крильце місяцевої нетлі,Pillangószárny
000727E0,Butterfly Wing,Ala de mariposa,Aile de papillon,Ala di farfalla,Schmetterlingsflügel,Motyle skrzydło,Крыло монарха,蝴蝶翅膀,蝶の羽,Motýlí křídlo,Asa de Borboleta,Kelebek Kanadı,나비 날개,Крильце метелика-монарха,Marék só
00077E1C,Blue Mountain Flower,Flor azul de montaña,Lys des cimes bleu,Fiore blu di montagna,Blaue Bergblume,Błękitny górski kwiat,Голубой горноцвет,藍山花,山の青い花,Hornička modrá,Flor Azul da Montanha,Mavi Dağçiçeği,파란 들꽃,Блакитна гірська квітка,Kék hegyivirág
00077E1D,Red Mountain Flower,Flor roja de montaña,Lys des cimes rouge,Fiore rosso di montagna,Rote Bergblume,Czerwony górski kwiat,Красный горноцвет,紅山花,山の赤い花,Hornička červená,Flor Vermelha da Montanha,Kızıl Dağ Çiçeği,붉은 들꽃,Червона гірська квітка,Vörös hegyivirág
00077E1E,Purple Mountain Flower,Flor púrpura de montaña,Lys des cimes violet,Fiore viola di montagna,Violette Bergblume,Purpurowy górski kwiat,Лиловый горноцвет,紫山花,山の紫の花,Hornička fialová,Flor Púrpura da Montanha,Mor Dağ Çiçeği,자줏빛 들꽃,Бузкова гірська квітка,Lila hegyivirág
0007E8B7,Swamp Fungal Pod,Vaina fúngica del pantano,Mycène des marais,Baccello fungale di palude,Sumpfpilzschote,Bagienna grzybnia,Болотный стручок,沼澤真菌莢,沼の群生キノコ,Tobolka močálové houby,Vagem de Cogumelo do Pântano,Bataklık Tomurcuğu,습지균 꼬투리,Болотяний грибок,Lápigomba tok
0007E8C1,Giant Lichen,Liquen gigante,Lichen géant,Lichene gigante,Riesenflechte,Olbrzymi porost,Гигантский лишайник,巨型青苔,巨大地衣類,Obří lišejník,Líquen Gigante,Dev Ciğerotu,거대 이끼,Величезний лишайник,Óriás zuzmó
0007E8C5,Slaughterfish Egg,Huevo de pez asesino,Oeuf de poisson carnassier,Uovo di pesce macellaio,Schlachterfischei,Ikra zębacza,Икра рыбы-убийцы,食人魚卵,スローターフィッシュの卵,Vajíčko vraždomilky,Ovo de Peixe Assassino,Katilbalık Yumurtası,식인물고기 알,Яйце риби-вбивці,Mészároshal-pete
0007E8C8,Rock Warbler Egg,Huevo de acantiza minero,Oeuf de fauvette,Uovo di passero delle rocce,Steinhuscherei,Jajo skałoświerga,Яйцо оригмы,石棲刺鶯的蛋,イワムシクイの卵,Vajíčko střízlíkovce,Ovo de Pássaro Canoro Empedrado,Kaya Bülbülü Yumurtası,바위 휘파람새 알,Яйце скельного щебетуна,Köviposzáta-tojás
0007EDF5,Nordic Barnacle,Percebe nórdico,Bernache nordique,Cirripede nordico,Nordranke,Norska pękla,Морской желудь,諾德藤壺,ノルド・フジツボ,Svijonožec severský,Mexilhão Nórdico,Kaya Midyesi,노드산 따개비,Нордський водний жолудь,Északi kagyló
0007EE01,Glowing Mushroom,Seta brillante,Champignon luisant,Fungo luminoso,Schimmerpilz,Świecący grzyb,Светящийся гриб,微光傘菌,光るキノコ,Svítivka,Cogumelo Brilhante,Parlak Mantar,발광 버섯,Світний гриб,Derengõgomba
00083E64,Grass Pod,Semilla de hierba,Cosse,Baccello,Grassamen,Trawiak,Травяной стручок,草籽,グラス・ポッド,Trnice,Vagem de Grama,Çim Tohumu,잔디 꼬투리,Трав'яний струк,Fûtok
000854FE,Pearl,Perla,Perle,Perla,Perle,Perła,Жемчужина,珍珠,パール,Perla,Pérola,İnci,진주,Перлина,Gyöngy
00085500,Small Pearl,Perla pequeña,Petite perle,Perla piccola,Kleine Perle,Mała perła,Маленькая жемчужина,小珍珠,小さなパール,Malá perla,Pérola Pequena,Ufak İnci,작은 진주,Перлинка,Kis gyöngy
000889A2,Dragon's Tongue,Lengua de dragón,Langue de dragon,Lingua di drago,Drachenbaum,Smoczy język,Язык дракона,龍舌蘭,リュウノシタ,Dračí jazyk,Língua de Dragão,Ejderha Dili,드래곤 텅,Драконів язик,Sárkánynyelv
0009151B,Spider Egg,Huevo de araña,Oeuf d'araignée,Uovo di ragno,Spinnenei,Pajęcze jajo,Паучье яйцо,蜘蛛卵,クモの卵,Pavoučí vajíčko,Ovo de Aranha,Örümcek Yumurtası,거미 알,Яйце павука,Póktojás
000A9191,Beehive Husk,Envoltorio de colmena,Ruche vide,Pezzo di alveare,Bienenstockhülle,Skorupa ula,Пчелиное гнездо,蜂箱外殼,ハチの巣の殻,Voština,Casca de Colméia,Arı Kovanı Kabuğu,벌집 껍질,Оболонка вулика,Méhkas burok
000A9195,Bee,Abeja,Abeille,Ape,Biene,Pszczoła,Пчела,蜜蜂,ハチ,Včela,Abelha,Arı,벌,Бджола,Méh
000B08C5,Honeycomb,Panal,Rayons de miel,Favo,Honigwabe,Plaster miodu,Медовые соты,蜂巢,ハチの巣,Plástev medu,Favo de Mel,Bal Peteği,꿀벌집,Стільник,Lépesméz
000B18CD,Human Heart,Corazón humano,Coeur humain,Cuore umano,Menschliches Herz,Ludzkie serce,Человеческое сердце,人類的心臟,奇妙な心臓,Lidské srdce,Coração Humano,İnsan Kalbi,인간의 심장,Людcьке серце,Emberi szív
000B2183,Creep Cluster,Raíz trepadora,Plantes grimpantes,Rampicanti,Kriechranke,Kępa pełzanicy,Ползучая лоза,藤蔓叢,クリープ・クラスター,Plazivice,Raiz Trepadeira,Sürüngen Dokunacı,크립 줄기,Крислатий стеблик,Kúszónyaláb
000B701A,Crimson Nirnroot,Raíz de nirn carmesí,Nirnroot cramoisie,Radice di Nirn cremisi,Purpurne Nirnwurz,Szkarłatny korzeń nirnu,Алый корень Нирна,深紅奈恩根,クリムゾン・ニルンルート,Rudý nirnský kořen,Raiz de Nirn Carmesim,Kızıl Nirnotu,붉은 넌루트,Черлений нірн-корінь,Karmazsin nirngyökér
000BB956,Orange Dartwing,Ala de dardo naranja,Aile de fléchette orange,Libellula arancione,Orange Pfeilfedern,Pomarańczowy ostroskrzydlak,Оранжевая стрекоза,橙色飛蟲,オレンジ・ダートウィング,Oranžová šipkatka,Libélula Laranja,Turuncu Yusufçuk,노란 파리잠자리,Жовтогаряча стрімкокрилка,Narancs szitakötõ
000D8E3F,Moon Sugar,Azúcar lunar,Sucrelune,Zucchero lunare,Mondzucker,Księżycowy cukier,Лунный сахар,月糖,ムーンシュガー,Cukřík,Açúcar Lunar,Ay Şekeri,문 슈거,Місяцевий цукор,Holdcukor
000E4F0C,Blue Dartwing,Ala de dardo azul,Aile de fléchette bleue,Libellula blu,Blaue Pfeilfedern,Niebieski ostroskrzydlak,Синяя стрекоза,藍色飛蟲,ブルー・ダートウィング,Modrá šipkatka,Libélula Azul,Mavi Yusufçuk,파란 파리잠자리,Блакитна стрімкокрилка,Kék szitakötõ
000E7EBC,Hawk Beak,Pico de halcón,Bec de faucon,Becco di falco,Falkenschnabel,Jastrzębi dziób,Клюв ястреба,鷹的喙,鷹のくちばし,Jestřábí zobák,Bico de Falcão,Şahin Gagası,매 부리,Дзьоб шуліки,Sólyomcsõr
000E7ED0,Hawk Feathers,Plumas de halcón,Plumes de faucon,Piume di falco,Falkenfedern,Jastrzębie pióra,Перья ястреба,鷹的羽毛,鷹の羽,Jestřábí pera,Penas de Falcão,Şahin Tüyleri,매 깃털,Пір'я шуліки,Sólyomtollak
000EC870,Mora Tapinella,Mora Tapinella,Mora Tapinella,Mora Tapinella,Mora Tapinella,Mora Tapinella,Мора тапинелла,樹傘菌,モラ・タピネラ,Mora Tapinella,Mora Tapinella,Ağaç Mantarı,은행잎 버섯,Товстоніжка,Cölöpgomba
000F11C0,Dwarven Oil,Aceite enano,Huile dwemer,Olio nanico,Zwergenöl,Krasnoludzki olej,Двемерское масло,矮人油,ドワーフのオイル,Trpasličí olej,Óleo Dwemer,Dwemer Yağı,드웨머 - 기름,Двемерська олива,Törp olaj
001016B3,Human Flesh,Carne humana,Chair humaine,Carne umana,Menschenfleisch,Ludzkie mięso,Человечье мясо,人肉,奇妙な肉,Lidské maso,Carne Humana,İnsan Eti,인간의 살점,Людське м'ясо,Emberi hús
00106E18,Histcarp,Carpa de hist,Carpe du Hist,Carpa histiana,Histkarpfen,Histokarp,Хисткарп,希思特鯉魚,ヒストカープ,Ssstkapr,Carpa de Hist,Hist balığı,히스트 잉어,Гісткороп,Szisszponty
00106E19,Cyrodilic Spadetail,Cola de espada cyrodiílica,Poisson-combattant de Cyrodiil,Spadino cyrodiilico,Cyrodilischer Spatenschwanz,Cyrodiilska ogonnica,Сиродильский лопатохвост,賽瑞迪爾鬥魚,シロディールのスペードテール,Cyrodilská hřebenatka,Cauda de Espada Cirodílica,Kürekkuyruk,시로딜 변종어,Киродільський широкохвіст,Cyrodiili lapátfarkú
00106E1A,River Betty,Betty de río,Poisson de rivière,Codalarga,Flusspeitscher,Rzeczna becia,Бойцовая рыбка,河布丁,リバー・ベティ,Říční očko,Betty de Rio,Nehirkızı,민물 베티,Річкова корчівка,Folyami harcoshal
00106E1B,Abecean Longfin,Aleta larga abacea,Abécéen à longue nageoire,Pinnalunga abeceano,Abeceanischer Mirakelbarsch,Abecejski długopłetwiak,Абесинский окунь,阿貝希恩長鰭魚,アビシアン・ロングフィン,Abeceánský ploutevník,Longfin de Abeceano,Uzunyüzgeç,아비시안 롱핀,Абекинський довгоплавець,Abeceai nyúlánkhal
00106E1C,Silverside Perch,Perca de lomo plateado,Perche argentée,Persico argenteo,Silberbarsch,Okoń srebrnoboczny,Серебристый окунь,銀岸鱸魚,シルバーサイド・パーチ,Okoun stříbřitý,Perca Prateada,Gümüş Levrek,은줄 농어,Срібнобокий окунь,Ezüstös sügér
0100306D,Rot Scale,Escama de podredumbre,Écaille putride,Scaglia marcia,Schuppenfäule,Łuska gnilna,Гнилая чешуйка,腐爛的鱗片,腐敗の鱗,Plesnivá šupina,Casca Podre,Çürük Pul,부패한 비늘,Гнила луска,Rot Scale
0100306E,Screaming Maw,Fauces aullantes,Gueule hurlante,Fauci urlanti,Schreiender Schlund,Wyjąca paszcza,Кричалка,尖叫嘴,叫ぶ口,Křičící tlama,Planta Gritante,Cırtlak Gırtlak,비명지르는 열매,Крикливе черево,Screaming Maw
0100306F,Thorn Hook,Gancho de espina,Crochet spinescent,Gancio spinoso,Dornenhaken,Hak z cierniami,Шип,刺鉤,茨のフック,Trnový hák,Gancho de Espinho,Dikenli Soğan,가시 갈고리,Колючий гак,Thorn Hook
02002A78,Yellow Mountain Flower,Flor amarilla de montaña,Lys des cimes jaune,Fiore giallo di montagna,Gelbe Bergblume,Żółty górski kwiat,Желтый горноцвет,黃色山花,黄色い山の花,Květina ze žluté hory,Flor Amarela da Montanha,Sarı Dağ Çiçeği,노란 들꽃,Жовта гірська квітка,Sárga hegyivirág
02003545,Salmon Roe,Huevas de salmón,Oeufs de saumon,Uova di salmone,Lachsrogen,Ikra łososia,Лососевая икра,鮭魚卵,イクラ,Lososí jikry,Ovas de Salmão,Somon Yumurtası,연어 알,Лососева ікра,Lazac ikra
